division,line,station_name,station_lat,station_lon,route_1,route_2,route_3,route_4,route_5,route_6,route_7,route_8,route_9,route_10,route_11,entrance_type,staff,staff_hours,ada_notes,free_crossover,north_south_street,east_west_street,corner,entrance_lat,entrance_lon,entry,exit_only,vending,ada_compliant
IRT,Clark,Wall St,40.706821,-74.0091,2,3,,,,,,,,,,Stair,FULL,,,TRUE,William St,Wall St,NW,40.706506,-74.009544,TRUE,FALSE,TRUE,FALSE
IRT,Clark,Wall St,40.706821,-74.0091,2,3,,,,,,,,,,Stair,FULL,,,TRUE,William St,Wall St,NE,40.706392,-74.009332,TRUE,FALSE,TRUE,FALSE
IRT,Clark,Wall St,40.706821,-74.0091,2,3,,,,,,,,,,Stair,NONE,,,TRUE,William St,Wall St,SE,40.706272,-74.009447,TRUE,FALSE,TRUE,FALSE
IRT,Clark,Wall St,40.706821,-74.0091,2,3,,,,,,,,,,Stair,NONE,,,TRUE,William St,Pine St,SE,40.706755,-74.008804,TRUE,FALSE,TRUE,FALSE
IRT,Clark,Wall St,40.706821,-74.0091,2,3,,,,,,,,,,Stair,NONE,,,TRUE,William St,Wall St,SW,40.706385,-74.009658,TRUE,FALSE,TRUE,FALSE
IRT,Clark,Wall St,40.706821,-74.0091,2,3,,,,,,,,,,Easement,NONE,,,TRUE,William St,Cedar St,NW,40.707431,-74.008778,TRUE,FALSE,TRUE,FALSE
IRT,Clark,Fulton St,40.709416,-74.006571,A,C,J,Z,2,3,4,5,,,,Stair,FULL,,,TRUE,William St,Fulton St,SE,40.709475,-74.006409,TRUE,FALSE,TRUE,FALSE
IRT,Clark,Fulton St,40.709416,-74.006571,A,C,J,Z,2,3,4,5,,,,Easement,NONE,,,TRUE,William St,Fulton St,SE,40.7092,-74.006664,FALSE,FALSE,FALSE,FALSE
IRT,Clark,Fulton St,40.709416,-74.006571,A,C,J,Z,2,3,4,5,,,,Easement,NONE,,,TRUE,William St,John St,NE,40.70863,-74.006999,FALSE,FALSE,FALSE,FALSE
IRT,Clark,Fulton St,40.709416,-74.006571,A,C,J,Z,2,3,4,5,,,,Easement,NONE,,,TRUE,William St,Fulton St,SE,40.709046,-74.006814,FALSE,FALSE,FALSE,FALSE
IRT,Clark,Clark St,40.697466,-73.993086,2,3,,,,,,,,,,Door,FULL,,,TRUE,Clark St,Henry St,NW,40.69759,-73.993275,TRUE,FALSE,TRUE,FALSE
IRT,Clark,Clark St,40.697466,-73.993086,2,3,,,,,,,,,,Door,FULL,,,TRUE,Clark St,Henry St,NW,40.697649,-73.99306,TRUE,FALSE,TRUE,FALSE
IRT,Clark,Borough Hall,40.693219,-73.989998,R,2,3,4,5,,,,,,,Elevator,FULL,,,TRUE,Court Street,Montague Street,SE,40.693594,-73.990304,TRUE,FALSE,TRUE,TRUE
IRT,Clark,Borough Hall,40.693219,-73.989998,R,2,3,4,5,,,,,,,Stair,FULL,,,TRUE,Court St,Montague St,SW,40.693569,-73.990599,TRUE,FALSE,TRUE,TRUE
IRT,Clark,Borough Hall,40.693219,-73.989998,R,2,3,4,5,,,,,,,Stair,FULL,,,TRUE,Court St,Montague St,SW,40.693728,-73.99063,TRUE,FALSE,TRUE,TRUE
IRT,Clark,Borough Hall,40.693219,-73.989998,R,2,3,4,5,,,,,,,Stair,FULL,,,TRUE,Cadman Plaza West,Montague St,NE,40.693838,-73.990119,TRUE,FALSE,TRUE,TRUE
IRT,Clark,Park Place,40.713051,-74.008811,A,C,E,1,2,3,,,,,,Stair,FULL,,,TRUE,Park Pl,Broadway,NW,40.712712,-74.007766,TRUE,FALSE,TRUE,FALSE
IRT,Lenox,Harlem-148th St,40.82388,-73.93647,3,,,,,,,,,,,Door,FULL,,,TRUE,Adam C. Powell Blvd,149th St,NE,40.824069,-73.936981,TRUE,FALSE,TRUE,FALSE
IRT,Lenox,135th St,40.814229,-73.94077,2,3,,,,,,,,,,Stair,NONE,,,FALSE,Lenox Ave,135th St,NE,40.814188,-73.940618,TRUE,FALSE,TRUE,TRUE
IRT,Lenox,135th St,40.814229,-73.94077,2,3,,,,,,,,,,Stair,FULL,,,FALSE,Lenox Ave,135th St,SW,40.814024,-73.941117,TRUE,FALSE,TRUE,TRUE
IRT,Lenox,135th St,40.814229,-73.94077,2,3,,,,,,,,,,Stair,NONE,,,FALSE,Lenox Ave,135th St,SE,40.813896,-73.940831,TRUE,FALSE,TRUE,TRUE
IRT,Lenox,135th St,40.814229,-73.94077,2,3,,,,,,,,,,Stair,FULL,,,FALSE,Lenox Ave,135th St,NW,40.814316,-73.94091,TRUE,FALSE,TRUE,TRUE
IRT,Lenox,125th St,40.807754,-73.945495,2,3,,,,,,,,,,Stair,NONE,,,FALSE,Lenox Ave,125th St,NE,40.807875,-73.945229,TRUE,FALSE,TRUE,FALSE
IRT,Lenox,125th St,40.807754,-73.945495,2,3,,,,,,,,,,Stair,FULL,,,FALSE,Lenox Ave,125th St,NW,40.807995,-73.945524,TRUE,FALSE,TRUE,FALSE
IRT,Lenox,125th St,40.807754,-73.945495,2,3,,,,,,,,,,Stair,FULL,,,FALSE,Lenox Ave,125th St,SW,40.807681,-73.945752,TRUE,FALSE,TRUE,FALSE
IRT,Lenox,125th St,40.807754,-73.945495,2,3,,,,,,,,,,Stair,NONE,,,FALSE,Lenox Ave,125th St,SE,40.807548,-73.945463,TRUE,FALSE,TRUE,FALSE
IRT,Lenox,110th St-Central Park North,40.799075,-73.951822,2,3,,,,,,,,,,Stair,NONE,,,TRUE,Lenox Ave,111th St,NW,40.799033,-73.952058,TRUE,FALSE,FALSE,FALSE
IRT,Lenox,110th St-Central Park North,40.799075,-73.951822,2,3,,,,,,,,,,Stair,FULL,,,TRUE,St Nicholas Ave,Central Park North,NW,40.798497,-73.952672,TRUE,FALSE,TRUE,FALSE
IRT,Lenox,145th St,40.820421,-73.936245,3,,,,,,,,,,,Stair,NONE,,,FALSE,Lenox Ave,145th St,NE,40.820602,-73.935933,FALSE,TRUE,FALSE,FALSE
IRT,Lenox,145th St,40.820421,-73.936245,3,,,,,,,,,,,Stair,FULL,,,FALSE,Lenox Ave,145th St,NW,40.820662,-73.936275,TRUE,FALSE,TRUE,FALSE
IRT,Lenox,145th St,40.820421,-73.936245,3,,,,,,,,,,,Stair,NONE,,,FALSE,Lenox Ave,145th St,SE,40.820161,-73.936253,FALSE,TRUE,FALSE,FALSE
IRT,Lenox,145th St,40.820421,-73.936245,3,,,,,,,,,,,Stair,FULL,,,FALSE,Lenox Ave,145th St,SW,40.820343,-73.936508,TRUE,FALSE,TRUE,FALSE
IRT,Lenox,116th St,40.802098,-73.949625,2,3,,,,,,,,,,Stair,FULL,,,FALSE,Lenox Ave,116th St,SW,40.801945,-73.949943,TRUE,FALSE,TRUE,FALSE
IRT,Lenox,116th St,40.802098,-73.949625,2,3,,,,,,,,,,Stair,FULL,,,FALSE,Lenox Ave,116th St,NW,40.802229,-73.949734,TRUE,FALSE,TRUE,FALSE
IRT,Lenox,116th St,40.802098,-73.949625,2,3,,,,,,,,,,Stair,NONE,,,FALSE,Lenox Ave,116th St,NE,40.802111,-73.949437,TRUE,FALSE,TRUE,FALSE
IRT,Lenox,116th St,40.802098,-73.949625,2,3,,,,,,,,,,Stair,NONE,,,FALSE,Lenox Ave,116th St,SE,40.801822,-73.949651,TRUE,FALSE,TRUE,FALSE
IND,Culver,18th Av,40.629755,-73.976971,F,,,,,,,,,,,Stair,FULL,,,TRUE,McDonald Ave,18th Ave,SW,40.630531,-73.977251,TRUE,FALSE,TRUE,FALSE
IND,Culver,18th Av,40.629755,-73.976971,F,,,,,,,,,,,Stair,FULL,,,TRUE,McDonald Ave,18th Ave,SE,40.630562,-73.976995,TRUE,FALSE,TRUE,FALSE
IND,Culver,18th Av,40.629755,-73.976971,F,,,,,,,,,,,Stair,NONE,,,TRUE,McDonald Ave,Parkville Ave,NW,40.628674,-73.976892,TRUE,FALSE,TRUE,FALSE
IND,Culver,18th Av,40.629755,-73.976971,F,,,,,,,,,,,Stair,NONE,,,TRUE,McDonald Ave,Parkville Ave,NE,40.628708,-73.976646,TRUE,FALSE,TRUE,FALSE
IND,Culver,Av N,40.61514,-73.974197,F,,,,,,,,,,,Stair,NONE,,,TRUE,McDonald Ave,Avenue M,SE,40.61616,-73.97427,TRUE,FALSE,TRUE,FALSE
IND,Culver,Av N,40.61514,-73.974197,F,,,,,,,,,,,Stair,NONE,,,TRUE,McDonald Ave,Avenue M,SW,40.616121,-73.974507,TRUE,FALSE,TRUE,FALSE
IND,Culver,Av N,40.61514,-73.974197,F,,,,,,,,,,,Stair,FULL,,,TRUE,McDonald Ave,Avenue N,NE,40.614304,-73.97391,TRUE,FALSE,TRUE,FALSE
IND,Culver,Av N,40.61514,-73.974197,F,,,,,,,,,,,Stair,FULL,,,TRUE,McDonald Ave,Avenue N,NW,40.614279,-73.97418,TRUE,FALSE,TRUE,FALSE
IND,Culver,Av I,40.625322,-73.976127,F,,,,,,,,,,,Stair,FULL,,,TRUE,McDonald Ave,Avenue I,NE,40.626163,-73.976177,TRUE,FALSE,TRUE,FALSE
