station_id,complex_id,gtfs_stop_id,division,line,station_name,borough_name,daytime_routes,structure,north_direction_label,south_direction_label,station_lat,station_lon
1,1,R01,BMT,Astoria,Astoria - Ditmars Blvd,Queens,N W,Elevated,,Manhattan,40.775036,-73.912034
2,2,R03,BMT,Astoria,Astoria Blvd,Queens,N W,Elevated,Ditmars Blvd,Manhattan,40.770258,-73.917843
3,3,R04,BMT,Astoria,30 Av,Queens,N W,Elevated,Astoria - Ditmars Blvd,Manhattan,40.766779,-73.921479
4,4,R05,BMT,Astoria,Broadway,Queens,N W,Elevated,Astoria - Ditmars Blvd,Manhattan,40.76182,-73.925508
5,5,R06,BMT,Astoria,36 Av,Queens,N W,Elevated,Astoria - Ditmars Blvd,Manhattan,40.756804,-73.929575
6,6,R08,BMT,Astoria,39 Av,Queens,N W,Elevated,Astoria - Ditmars Blvd,Manhattan,40.752882,-73.932755
7,613,R11,BMT,Astoria,Lexington Av/59 St,Manhattan,N W R,Subway,Queens,Downtown & Brooklyn,40.76266,-73.967258
8,8,R13,BMT,Astoria,5 Av/59 St,Manhattan,N W R,Subway,Queens,Downtown & Brooklyn,40.764811,-73.973347
9,9,R14,BMT,Broadway - Brighton,57 St - 7 Av,Manhattan,N Q R W,Subway,Uptown & Queens,Downtown & Brooklyn,40.764664,-73.980658
10,10,R15,BMT,Broadway - Brighton,49 St,Manhattan,N R W,Subway,Uptown & Queens,Downtown & Brooklyn,40.759901,-73.984139
11,611,R16,BMT,Broadway - Brighton,Times Sq - 42 St,Manhattan,N Q R W,Subway,Uptown & Queens,Downtown & Brooklyn,40.754672,-73.986754
12,607,R17,BMT,Broadway - Brighton,34 St - Herald Sq,Manhattan,N Q R W,Subway,Uptown & Queens,Downtown & Brooklyn,40.749567,-73.98795
13,13,R18,BMT,Broadway - Brighton,28 St,Manhattan,R W,Subway,Uptown & Queens,Downtown & Brooklyn,40.745494,-73.988691
14,14,R19,BMT,Broadway - Brighton,23 St,Manhattan,R W,Subway,Uptown & Queens,Downtown & Brooklyn,40.741303,-73.989344
15,602,R20,BMT,Broadway - Brighton,14 St - Union Sq,Manhattan,N Q R W,Subway,Uptown & Queens,Downtown & Brooklyn,40.735736,-73.990568
16,16,R21,BMT,Broadway - Brighton,8 St - NYU,Manhattan,R W,Subway,Uptown & Queens,Downtown & Brooklyn,40.730328,-73.992629
17,17,R22,BMT,Broadway - Brighton,Prince St,Manhattan,R W,Subway,Uptown & Queens,Downtown & Brooklyn,40.724329,-73.997702
18,623,R23,BMT,Broadway,Canal St,Manhattan,R W,Subway,Uptown & Queens,Downtown & Brooklyn,40.719527,-74.001775
19,623,Q01,BMT,Manhattan Bridge,Canal St,Manhattan,N Q,Subway,Uptown & Queens,Downtown & Brooklyn,40.718383,-74.00046
20,20,R24,BMT,Broadway,City Hall,Manhattan,R W,Subway,Uptown & Queens,Downtown & Brooklyn,40.713282,-74.006978
21,624,R25,BMT,Broadway,Cortlandt St,Manhattan,R W,Subway,Uptown & Queens,Downtown & Brooklyn,40.710668,-74.011029
22,22,R26,BMT,Broadway,Rector St,Manhattan,R W,Subway,Uptown & Queens,Downtown & Brooklyn,40.70722,-74.013342
23,635,R27,BMT,Broadway,Whitehall St,Manhattan,R W,Subway,Uptown & Queens,Brooklyn,40.703087,-74.012994
24,620,R28,BMT,Broadway,Court St,Brooklyn,R,Subway,Manhattan,Bay Ridge - 95 St,40.6941,-73.991777
25,636,R29,BMT,Broadway,Jay St - MetroTech,Brooklyn,R,Subway,Manhattan,Bay Ridge - 95 St,40.69218,-73.985942
26,26,R30,BMT,Broadway - Brighton,DeKalb Av,Brooklyn,B Q R,Subway,Manhattan,Coney Island - Bay Ridge,40.690635,-73.981824
27,617,R31,BMT,4th Av,Atlantic Av - Barclays Ctr,Brooklyn,D N R,Subway,Manhattan,Coney Island - Bay Ridge,40.683666,-73.97881
28,28,R32,BMT,4th Av,Union St,Brooklyn,R,Subway,Manhattan,Bay Ridge - 95 St,40.677316,-73.98311
29,608,R33,BMT,4th Av,9 St,Brooklyn,R,Subway,Manhattan,Bay Ridge - 95 St,40.670847,-73.988302
30,30,R34,BMT,4th Av,Prospect Av,Brooklyn,R,Subway,Manhattan,Bay Ridge - 95 St,40.665414,-73.992872
31,31,R35,BMT,4th Av,25 St,Brooklyn,R,Subway,Manhattan,Bay Ridge - 95 St,40.660397,-73.998091
32,32,R36,BMT,4th Av,36 St,Brooklyn,D N R,Subway,Manhattan,Coney Island - Bay Ridge,40.655144,-74.003549
33,33,R39,BMT,4th Av,45 St,Brooklyn,R,Subway,Manhattan,Bay Ridge - 95 St,40.648939,-74.010006
34,34,R40,BMT,4th Av,53 St,Brooklyn,R,Subway,Manhattan,Bay Ridge - 95 St,40.645069,-74.014034
35,35,R41,BMT,4th Av,59 St,Brooklyn,N R,Subway,Manhattan,Coney Island - Bay Ridge,40.641362,-74.017881
36,36,R42,BMT,4th Av,Bay Ridge Av,Brooklyn,R,Subway,Manhattan,95 St,40.634967,-74.023377
37,37,R43,BMT,4th Av,77 St,Brooklyn,R,Subway,Manhattan,95 St,40.629742,-74.02551
38,38,R44,BMT,4th Av,86 St,Brooklyn,R,Subway,Manhattan,95 St,40.622687,-74.028398
39,39,R45,BMT,4th Av,Bay Ridge - 95 St,Brooklyn,R,Subway,Manhattan,,40.616622,-74.030876
40,617,D24,BMT,Broadway - Brighton,Atlantic Av - Barclays Ctr,Brooklyn,B Q,Subway,Manhattan,Brighton Beach & Coney Island,40.68446,-73.97689
41,41,D25,BMT,Broadway - Brighton,7 Av,Brooklyn,B Q,Subway,Manhattan,Brighton Beach & Coney Island,40.67705,-73.972367
42,42,D26,BMT,Broadway - Brighton,Prospect Park,Brooklyn,B Q,Open Cut,Manhattan & Franklin Av,Brighton Beach & Coney Island,40.661614,-73.962246
43,43,D27,BMT,Broadway - Brighton,Parkside Av,Brooklyn,B Q,Open Cut,Manhattan,Brighton Beach & Coney Island,40.655292,-73.961495
44,44,D28,BMT,Broadway - Brighton,Church Av,Brooklyn,B Q,Open Cut,Manhattan,Brighton Beach & Coney Island,40.650527,-73.962982
45,45,D29,BMT,Broadway - Brighton,Beverley Rd,Brooklyn,B Q,Open Cut,Manhattan,Brighton Beach & Coney Island,40.644031,-73.964492
46,46,D30,BMT,Broadway - Brighton,Cortelyou Rd,Brooklyn,B Q,Open Cut,Manhattan,Brighton Beach & Coney Island,40.640927,-73.963891
47,47,D31,BMT,Broadway - Brighton,Newkirk Plaza,Brooklyn,B Q,Open Cut,Manhattan,Brighton Beach & Coney Island,40.635082,-73.962793
48,48,D32,BMT,Broadway - Brighton,Avenue H,Brooklyn,B Q,Open Cut,Manhattan,Brighton Beach & Coney Island,40.62927,-73.961639
49,49,D33,BMT,Broadway - Brighton,Avenue J,Brooklyn,B Q,Open Cut,Manhattan,Brighton Beach & Coney Island,40.625039,-73.960803
50,50,D34,BMT,Broadway - Brighton,Avenue M,Brooklyn,B Q,Open Cut,Manhattan,Brighton Beach & Coney Island,40.617618,-73.959399
51,51,D35,BMT,Broadway - Brighton,Kings Hwy,Brooklyn,B Q,Open Cut,Manhattan,Brighton Beach & Coney Island,40.60867,-73.957734
52,52,D37,BMT,Broadway - Brighton,Avenue U,Brooklyn,B Q,Open Cut,Manhattan,Brighton Beach & Coney Island,40.5993,-73.955929
53,53,D38,BMT,Broadway - Brighton,Neck Rd,Brooklyn,B Q,Open Cut,Manhattan,Brighton Beach & Coney Island,40.595246,-73.955161
54,54,D39,BMT,Broadway - Brighton,Sheepshead Bay,Brooklyn,B Q,Open Cut,Manhattan,Brighton Beach & Coney Island,40.586896,-73.954155
55,55,D40,BMT,Broadway - Brighton,Brighton Beach,Brooklyn,B Q,Elevated,Manhattan,Coney Island,40.577621,-73.961376
56,56,D41,BMT,Broadway - Brighton,Ocean Pkwy,Brooklyn,Q,Elevated,Manhattan,Stillwell Av,40.576312,-73.968501
57,57,D42,BMT,Broadway - Brighton,W 8 St - NY Aquarium,Brooklyn,F Q,Elevated,Manhattan,Stillwell Av,40.576127,-73.975939
58,58,D43,BMT,Sea Beach / West End / Culver / Brighton,Coney Island - Stillwell Av,Brooklyn,D F N Q,Viaduct,Manhattan,,40.577422,-73.981233
59,59,B12,BMT,West End,9 Av,Brooklyn,D,Open Cut,Manhattan,Coney Island,40.646292,-73.994324
60,60,B13,BMT,West End,Fort Hamilton Pkwy,Brooklyn,D,Elevated,Manhattan,Coney Island,40.640914,-73.994304
61,61,B14,BMT,West End,50 St,Brooklyn,D,Elevated,Manhattan,Coney Island,40.63626,-73.994791
62,62,B15,BMT,West End,55 St,Brooklyn,D,Elevated,Manhattan,Coney Island,40.631435,-73.995476
63,615,B16,BMT,West End,62 St,Brooklyn,D,Elevated,Manhattan,Coney Island,40.626472,-73.996895
64,64,B17,BMT,West End,71 St,Brooklyn,D,Elevated,Manhattan,Coney Island,40.619589,-73.998864
65,65,B18,BMT,West End,79 St,Brooklyn,D,Elevated,Manhattan,Coney Island,40.613501,-74.00061
66,66,B19,BMT,West End,18 Av,Brooklyn,D,Elevated,Manhattan,Coney Island,40.607954,-74.001736
67,67,B20,BMT,West End,20 Av,Brooklyn,D,Elevated,Manhattan,Coney Island,40.604556,-73.998168
68,68,B21,BMT,West End,Bay Pkwy,Brooklyn,D,Elevated,Manhattan,Coney Island,40.601875,-73.993728
69,69,B22,BMT,West End,25 Av,Brooklyn,D,Elevated,Manhattan,Coney Island,40.597704,-73.986829
70,70,B23,BMT,West End,Bay 50 St,Brooklyn,D,Elevated,Manhattan,Coney Island,40.588841,-73.983765
71,71,N02,BMT,Sea Beach,8 Av,Brooklyn,N,Open Cut,Manhattan,Coney Island,40.635064,-74.011719
72,72,N03,BMT,Sea Beach,Fort Hamilton Pkwy,Brooklyn,N,Open Cut,Manhattan,Coney Island,40.631386,-74.005351
73,615,N04,BMT,Sea Beach,New Utrecht Av,Brooklyn,N,Open Cut,Manhattan,Coney Island,40.624842,-73.996353
74,74,N05,BMT,Sea Beach,18 Av,Brooklyn,N,Open Cut,Manhattan,Coney Island,40.620671,-73.990414
75,75,N06,BMT,Sea Beach,20 Av,Brooklyn,N,Open Cut,Manhattan,Coney Island,40.61741,-73.985026
76,76,N07,BMT,Sea Beach,Bay Pkwy,Brooklyn,N,Open Cut,Manhattan,Coney Island,40.611815,-73.981848
